id varosNev orszag
0 Melbourne Ausztrália
1 Sao_Paulo Brazília
2 Ostrava Csehország
3 Tokió Japán
4 Prága Csehország
5 Peking Kína
6 Nagoya Japán
7 Bangalore India
8 Pattaya Thaiföld
9 Dubai Egyesült_Arab_Emírségek
10 London Egyesült_Királyság
11 Dubai Egyesült_Arab_Emírségek
12 Hamburg Németország
13 Stockholm Svédország
14 Istanbul Törökország
15 Göteborg Svédország
16 Peking Kína
17 Brasília Brazília
18 Bangalore India
19 Milánó Olaszország
20 Shanghai Kína
21 Göteborg Svédország
22 Budapest Magyarország
23 Brisbane Ausztrália
24 Bangalore India
25 Nagoya Japán
26 Istanbul Törökország
27 Izmir Törökország
28 Luxor Egyiptom
29 München Németország
30 Budapest Magyarország
31 Delhi India
32 Alexandria Egyiptom
33 Sao_Paulo Brazília
34 Berlin Németország
35 Salzburg Ausztria
36 Osaka Japán
37 München Németország
38 Göteborg Svédország
39 Ankara Törökország
40 Innsbruck Ausztria
41 Milánó Olaszország
42 Prága Csehország
43 Sydney Ausztrália
44 Firenze Olaszország
45 Szeged Magyarország
46 Szeged Magyarország
47 Göteborg Svédország
48 Szeged Magyarország
49 New_York Egyesült_Államok
50 Milánó Olaszország
51 Hamburg Németország
52 Nice Franciaország
53 Berlin Németország
54 Brasília Brazília
55 Luxor Egyiptom
56 London Egyesült_Királyság
57 Los_Angeles Egyesült_Államok
58 Malmö Svédország
59 Mumbai India
60 Malmö Svédország
61 Novoszibirszk Oroszország
62 Lyon Franciaország
63 Berlin Németország
64 Hamburg Németország
65 Brisbane Ausztrália
66 Nagoya Japán
