id faj nev kor
0 Panda Mia 12
1 Denevér Lola 7
2 Sarki_róka Charlie 14
3 Panda Luna 11
4 Levélállat Max 17
5 Panda Simba 19
6 Zebra Leo 7
7 Panda Molly 12
8 Zebra Charlie 9
9 Pengőke Baloo 9
10 Levélállat Molly 4
11 Denevér Mia 16
12 Pengőke Lily 16
13 Koala Charlie 11
14 Fehér_cápa Oliver 14
15 Elefánt Charlie 20
16 Koala Lola 13
17 Szumátrai_orangután Zara 5
18 Pengőke Rocky 5
19 Panda Zara 10
20 Szumátrai_orangután Buddy 3
21 Fehér_cápa Zara 12
22 Levélállat Buddy 3
23 Lion Luna 10
24 Fehér_cápa Simba 14
25 Pengőke Max 3
26 Denevér Bella 10
27 Denevér Charlie 5
28 Levélállat Baloo 18
29 Koala Lily 20
30 Sarki_róka Lola 15
31 Polar_medve Leo 4
32 Pengőke Rocky 17
33 Pengőke Lily 2
34 Tigris Luna 17
35 Narvál Charlie 10
36 Sarki_róka Baloo 7
37 Pengőke Bella 16
38 Narvál Max 6
39 Szumátrai_orangután Lola 11
40 Denevér Max 14
41 Polar_medve Luna 4
42 Sarki_róka Luna 3
43 Bengáli_tigris Mia 7
44 Sarki_róka Charlie 12
45 Lion Zara 11
46 Fehér_cápa Baloo 9
47 Denevér Baloo 18
48 Bengáli_tigris Buddy 2
49 Denevér Simba 15
50 Koala Lola 9
51 Panda Max 6
52 Bengáli_tigris Max 20
53 Koala Max 17
54 Pengőke Leo 20
55 Zebra Leo 3
56 Levélállat Charlie 20
57 Sarki_róka Lily 7
58 Narvál Lola 2
59 Koala Leo 12
60 Fehér_cápa Simba 8
61 Koala Luna 11
62 Zebra Zara 4
63 Fehér_cápa Molly 19
64 Pengőke Charlie 19
65 Koala Buddy 4
66 Bengáli_tigris Molly 1
67 Elefánt Zara 3
68 Szumátrai_orangután Luna 6
69 Fehér_cápa Bella 10
70 Pengőke Leo 4
71 Polar_medve Zara 20
72 Denevér Rocky 20
73 Panda Charlie 7
74 Levélállat Mia 5
75 Levélállat Max 9
76 Panda Max 4
77 Bengáli_tigris Rocky 11
78 Sarki_róka Rocky 6
79 Bengáli_tigris Charlie 5
80 Lion Bella 11
81 Fehér_cápa Charlie 14
82 Sarki_róka Rocky 10
83 Pengőke Luna 8
84 Pengőke Lola 13
85 Lion Lily 16
